id,product,category,price,quantity,sale_date
83,Printer,Office Supplies,1791.38,7,7/17/2021
84,Tablet,Electronics,1402.79,3,11/29/2022
85,Monitor,Accessories,1785.41,6,3/24/2022
86,Printer,Office Supplies,1764.19,4,12/1/2023
87,Smartphone,Electronics,1694.83,3,10/20/2022
88,Tablet,Electronics,64.57,9,1/4/2022
89,Monitor,Accessories,529.31,6,1/25/2024
90,Tablet,Electronics,1963.84,5,10/10/2022
91,Monitor,Accessories,600.36,5,8/9/2021
92,Printer,Office Supplies,532.87,10,7/10/2023
93,Monitor,Accessories,589.83,1,10/29/2023
94,Monitor,Accessories,641.07,5,8/3/2022
95,Mouse,Accessories,944.28,5,3/25/2020
96,Mouse,Accessories,359.75,9,5/23/2020
97,Keyboard,Accessories,1362.49,7,1/4/2021
98,Tablet,Electronics,1249.75,6,4/7/2023
99,Keyboard,Accessories,365.63,2,12/18/2022
100,Mouse,Accessories,1881.7,5,4/12/2022
101,Tablet,Electronics,717.23,10,12/13/2021
102,Mouse,Accessories,546.82,7,1/4/2020
103,Tablet,Electronics,1248.09,3,3/9/2022
104,Monitor,Accessories,807.71,6,11/22/2020
105,Smartphone,Electronics,1381.42,2,1/23/2023
106,Smartphone,Electronics,881.6,6,6/8/2023
107,Mouse,Accessories,1935.05,3,10/20/2023
108,Keyboard,Accessories,1723.71,8,4/24/2021
109,Laptop,Electronics,797.67,3,8/28/2021
110,Laptop,Electronics,959.62,5,10/31/2020
111,Keyboard,Accessories,1691.82,6,1/29/2020
112,Tablet,Electronics,1437.06,9,11/16/2022
113,Keyboard,Accessories,1393.03,1,12/24/2022
114,Tablet,Electronics,1216.54,6,3/15/2023
115,Laptop,Electronics,512.23,1,8/7/2023
116,Headphones,Audio,1097.39,2,9/1/2020
117,Headphones,Audio,1223.76,4,7/19/2021
118,Monitor,Accessories,984.92,4,2/25/2020
119,Laptop,Electronics,537.51,8,5/22/2020
120,Laptop,Electronics,110.16,9,9/10/2022
121,Monitor,Accessories,273.65,10,8/15/2022
122,Keyboard,Accessories,1340.79,10,2/8/2020
123,Keyboard,Accessories,861.66,1,12/10/2022
124,Headphones,Audio,330.17,8,2/28/2023
125,Printer,Office Supplies,1091.44,7,5/6/2021
126,Tablet,Electronics,205.37,5,10/5/2022
127,Smartphone,Electronics,1073.9,2,10/26/2020
128,Printer,Office Supplies,1517.66,5,9/3/2021
129,Smartphone,Electronics,1393.1,3,9/23/2023
130,Mouse,Accessories,257.16,2,7/30/2020
131,Headphones,Audio,747.88,6,8/5/2023
132,Keyboard,Accessories,454.09,5,10/2/2022
133,Keyboard,Accessories,1982.8,6,3/31/2020
134,Keyboard,Accessories,914.64,1,5/30/2022
135,Headphones,Audio,456.14,6,2/7/2024
136,Tablet,Electronics,577.13,4,11/15/2022
137,Monitor,Accessories,416.12,9,10/30/2021
138,Keyboard,Accessories,864.56,9,5/17/2022
139,Tablet,Electronics,759.59,7,12/30/2022
140,Laptop,Electronics,489.59,9,2/13/2023
141,Tablet,Electronics,1570.31,4,12/19/2021
142,Monitor,Accessories,190.65,9,12/12/2020
143,Laptop,Electronics,285.12,2,6/7/2022
144,Monitor,Accessories,1068.91,3,2/23/2022
145,Keyboard,Accessories,487.78,3,6/7/2023
146,Headphones,Audio,1360.26,10,5/14/2021
147,Smartphone,Electronics,1982.64,5,4/25/2021
148,Tablet,Electronics,491.85,9,2/9/2023
149,Mouse,Accessories,709.8,4,4/14/2021
150,Printer,Office Supplies,1843.57,4,1/9/2020
151,Tablet,Electronics,1034.47,3,11/19/2020
152,Keyboard,Accessories,1196.12,3,6/20/2021
153,Smartphone,Electronics,1124.86,6,5/27/2023
154,Tablet,Electronics,1893.15,3,12/14/2020
155,Mouse,Accessories,1642.78,5,9/3/2022
156,Tablet,Electronics,1782.81,7,10/3/2022
157,Printer,Office Supplies,1661.18,9,5/7/2023
158,Printer,Office Supplies,491.26,10,5/12/2020
159,Mouse,Accessories,1150.7,6,9/22/2023
160,Smartphone,Electronics,361.76,4,11/25/2022
161,Laptop,Electronics,1153.43,2,6/4/2023
162,Monitor,Accessories,887.53,10,10/17/2020
163,Printer,Office Supplies,1326.4,1,1/1/2021
164,Headphones,Audio,1574.02,9,7/1/2020
165,Headphones,Audio,1282.15,5,11/22/2021
166,Tablet,Electronics,355.03,1,3/12/2020
167,Tablet,Electronics,410.1,3,7/7/2020
168,Smartphone,Electronics,694.89,6,11/18/2022
169,Keyboard,Accessories,1430.87,2,9/1/2023
170,Laptop,Electronics,424.5,4,10/18/2023
171,Mouse,Accessories,439.47,6,2/19/2020
172,Keyboard,Accessories,857.58,4,6/4/2022
173,Headphones,Audio,1501.49,8,5/26/2021
174,Laptop,Electronics,1272.6,5,2/4/2020
175,Tablet,Electronics,1058.41,7,4/25/2021
176,Smartphone,Electronics,1494.74,2,1/9/2024
177,Laptop,Electronics,1397.78,10,3/16/2021
178,Headphones,Audio,289.48,3,7/24/2022
179,Tablet,Electronics,1541.37,8,10/5/2020
180,Tablet,Electronics,1497.93,7,8/12/2023
181,Headphones,Audio,831.83,1,5/19/2023
182,Laptop,Electronics,1644.4,4,11/15/2021
183,Printer,Office Supplies,310.49,6,4/30/2022
184,Laptop,Electronics,694.53,7,12/24/2023
185,Monitor,Accessories,1678.65,6,9/18/2023
186,Monitor,Accessories,1217.96,2,10/26/2022
187,Monitor,Accessories,579.74,7,12/1/2020
188,Keyboard,Accessories,1594.53,1,11/26/2021
189,Monitor,Accessories,1157.67,2,1/23/2023
190,Keyboard,Accessories,458.04,1,11/13/2022
191,Laptop,Electronics,1624.15,6,12/5/2021
192,Laptop,Electronics,1957.6,9,11/15/2021
193,Printer,Office Supplies,364.09,2,12/11/2021
194,Monitor,Accessories,578.49,6,7/26/2020
195,Keyboard,Accessories,1955.9,1,2/27/2023
196,Headphones,Audio,915.89,8,4/24/2021
197,Tablet,Electronics,1786.94,1,2/2/2020
198,Laptop,Electronics,176.1,3,6/23/2023
199,Mouse,Accessories,1062.3,2,3/2/2020
200,Headphones,Audio,1654.86,9,9/7/2022
201,Laptop,Electronics,1459.68,1,12/1/2021
202,Monitor,Accessories,1517.95,2,2/4/2022
203,Smartphone,Electronics,1207.58,4,3/31/2022
204,Monitor,Accessories,1078.72,8,11/22/2023
205,Laptop,Electronics,1819.31,6,2/2/2024
206,Printer,Office Supplies,1903.49,10,4/6/2023
207,Smartphone,Electronics,1697.27,5,11/9/2021
208,Printer,Office Supplies,1783.73,5,7/1/2021
209,Keyboard,Accessories,1346.04,5,3/4/2023
210,Printer,Office Supplies,643.14,1,9/23/2020
211,Keyboard,Accessories,589.09,6,12/11/2020
212,Mouse,Accessories,1603.3,6,3/9/2023
213,Laptop,Electronics,152.66,5,3/20/2021
214,Printer,Office Supplies,1641.2,7,7/15/2022
215,Printer,Office Supplies,1277.21,6,11/15/2021
216,Mouse,Accessories,1651.75,3,7/14/2021
217,Laptop,Electronics,1598.31,5,2/17/2022
218,Keyboard,Accessories,1083.5,8,6/17/2023
219,Tablet,Electronics,1388.95,4,10/3/2020
220,Tablet,Electronics,721.56,6,4/6/2022
221,Mouse,Accessories,1453.17,5,9/10/2023
222,Mouse,Accessories,1303.49,6,9/11/2021
223,Smartphone,Electronics,716.56,5,4/13/2020
224,Tablet,Electronics,1844.09,10,10/13/2020
225,Keyboard,Accessories,143.09,7,2/8/2023
226,Headphones,Audio,703.83,5,2/14/2023
227,Tablet,Electronics,438.8,10,4/20/2021
228,Monitor,Accessories,1025.31,2,3/16/2020
229,Tablet,Electronics,1095.85,8,5/22/2021
230,Printer,Office Supplies,674.17,9,3/30/2022
231,Tablet,Electronics,57.31,9,1/14/2022
232,Mouse,Accessories,196.73,3,5/30/2022
233,Printer,Office Supplies,358.39,6,9/5/2023
234,Smartphone,Electronics,285.08,2,11/13/2023
235,Headphones,Audio,1171.16,2,5/30/2023
236,Tablet,Electronics,1538.89,8,10/30/2021
237,Keyboard,Accessories,1838.37,7,9/26/2022
238,Smartphone,Electronics,123.53,1,4/13/2023
239,Laptop,Electronics,812.7,6,10/26/2023
240,Keyboard,Accessories,384.12,5,2/6/2021
241,Printer,Office Supplies,188.8,1,3/17/2023
242,Headphones,Audio,357.94,7,1/7/2024
243,Keyboard,Accessories,297.63,9,3/31/2020
244,Printer,Office Supplies,372.72,3,1/21/2024
245,Headphones,Audio,1962.52,9,1/4/2021
246,Keyboard,Accessories,773.66,9,10/22/2020
247,Smartphone,Electronics,439.32,4,11/24/2020
248,Printer,Office Supplies,1024.21,8,4/4/2021
249,Smartphone,Electronics,744.89,8,1/12/2022
250,Keyboard,Accessories,678.04,4,12/13/2020
251,Laptop,Electronics,550.07,3,4/6/2020
252,Laptop,Electronics,324.3,7,1/15/2024
253,Keyboard,Accessories,1316.42,5,7/26/2023
254,Mouse,Accessories,698.03,2,5/5/2022
255,Mouse,Accessories,1229.81,8,2/11/2022
256,Tablet,Electronics,365.48,8,9/11/2022
257,Monitor,Accessories,480.99,1,11/27/2022
258,Monitor,Accessories,816.79,4,9/18/2021
259,Laptop,Electronics,748.37,1,3/22/2023
260,Keyboard,Accessories,175.2,7,12/8/2020
261,Headphones,Audio,370.47,6,1/17/2020
262,Printer,Office Supplies,344.33,1,1/28/2023
263,Laptop,Electronics,150.46,8,7/12/2023
264,Headphones,Audio,774.5,10,7/31/2020
265,Tablet,Electronics,413.87,8,12/29/2020
266,Printer,Office Supplies,947.02,9,11/4/2020
267,Tablet,Electronics,1659.42,3,11/25/2022
268,Laptop,Electronics,1874.56,5,3/4/2023
269,Keyboard,Accessories,1119.43,7,7/5/2023
270,Printer,Office Supplies,1982.18,1,12/25/2020
271,Keyboard,Accessories,1521.86,3,9/26/2021
272,Keyboard,Accessories,1370.73,6,3/6/2021
273,Monitor,Accessories,548.4,4,11/3/2021
274,Printer,Office Supplies,1904.18,3,12/18/2020
275,Headphones,Audio,116.36,3,10/10/2023
276,Headphones,Audio,207.39,7,12/15/2022
277,Tablet,Electronics,721.44,6,7/7/2020
278,Keyboard,Accessories,1571.15,10,10/10/2020
279,Printer,Office Supplies,1549.57,6,2/12/2023
280,Printer,Office Supplies,895.28,3,6/11/2023
281,Printer,Office Supplies,1035.04,7,1/24/2024
282,Laptop,Electronics,1438.02,1,10/14/2021
283,Mouse,Accessories,529.3,4,11/24/2021
284,Laptop,Electronics,1363.45,5,7/29/2021
285,Printer,Office Supplies,786.38,9,2/10/2023
286,Laptop,Electronics,294.87,2,1/6/2023
287,Smartphone,Electronics,986.95,4,3/1/2021
288,Printer,Office Supplies,737.3,4,7/28/2022
289,Headphones,Audio,1629.67,2,11/21/2020
290,Tablet,Electronics,736,7,1/3/2024
291,Keyboard,Accessories,733.32,6,9/22/2020
292,Monitor,Accessories,211.54,6,11/3/2021
293,Printer,Office Supplies,1127.29,6,4/4/2020
294,Keyboard,Accessories,1015.19,3,4/6/2021
295,Headphones,Audio,1720.56,8,1/13/2022
296,Keyboard,Accessories,392.27,9,5/11/2020
297,Printer,Office Supplies,653.17,5,7/22/2020
298,Mouse,Accessories,1380.56,5,1/5/2024
299,Headphones,Audio,98.82,5,9/18/2020
300,Tablet,Electronics,1605.03,9,6/1/2023
301,Monitor,Accessories,1317.34,7,7/13/2020
302,Headphones,Audio,679.35,2,9/30/2023
303,Printer,Office Supplies,1106.34,4,7/6/2021
304,Mouse,Accessories,1273.9,7,7/21/2022
305,Tablet,Electronics,1727.18,5,2/16/2020
306,Tablet,Electronics,1846.8,10,12/7/2020
307,Headphones,Audio,1338.31,5,9/24/2020
308,Smartphone,Electronics,1436.6,9,10/17/2020
309,Printer,Office Supplies,1139.45,9,1/25/2020
310,Smartphone,Electronics,1015.72,9,5/30/2022
311,Mouse,Accessories,1976.59,2,4/15/2021
312,Printer,Office Supplies,1874.23,1,8/13/2023
313,Headphones,Audio,1258.29,1,4/9/2022
314,Smartphone,Electronics,1672.9,8,5/25/2020
315,Mouse,Accessories,1551.63,10,12/4/2021
316,Headphones,Audio,892.91,6,4/5/2023
317,Headphones,Audio,753.82,6,10/1/2021
318,Tablet,Electronics,459.29,10,11/5/2020
319,Printer,Office Supplies,149.67,3,9/21/2022
320,Laptop,Electronics,1648.69,10,3/31/2021
321,Smartphone,Electronics,1253.7,5,8/22/2023
322,Headphones,Audio,799.64,5,1/10/2023
323,Printer,Office Supplies,781.56,7,7/8/2022
324,Keyboard,Accessories,637.45,5,10/18/2021
325,Tablet,Electronics,635.06,1,11/1/2021
326,Headphones,Audio,375.93,1,1/15/2024
327,Smartphone,Electronics,1543.18,2,10/23/2023
328,Monitor,Accessories,1851.27,9,10/5/2022
329,Laptop,Electronics,162.8,6,5/17/2022
330,Headphones,Audio,299.88,7,1/19/2020
331,Smartphone,Electronics,1610.11,3,1/28/2023
332,Headphones,Audio,1866.07,10,11/1/2022
333,Headphones,Audio,1499.8,9,5/29/2023
334,Headphones,Audio,147.76,5,3/30/2022
335,Smartphone,Electronics,829.24,6,5/1/2022
336,Keyboard,Accessories,55.61,1,8/7/2020
337,Tablet,Electronics,422.09,8,11/9/2023
338,Smartphone,Electronics,899.29,1,8/29/2020
339,Printer,Office Supplies,1860.43,8,10/20/2022
340,Laptop,Electronics,486.3,4,2/24/2023
341,Keyboard,Accessories,1925.11,5,7/22/2022
342,Smartphone,Electronics,1552.51,9,3/13/2022
343,Keyboard,Accessories,1399.41,2,2/3/2024
344,Laptop,Electronics,1544.3,9,12/25/2022
345,Monitor,Accessories,966.87,1,11/4/2022
346,Smartphone,Electronics,1019.31,10,10/28/2023
347,Tablet,Electronics,147.18,1,9/27/2023
348,Printer,Office Supplies,1021.35,2,7/20/2021
349,Smartphone,Electronics,395.74,2,10/3/2021
350,Tablet,Electronics,768.94,4,7/14/2021
351,Printer,Office Supplies,567.66,1,10/19/2020
352,Smartphone,Electronics,634.3,8,11/24/2023
353,Mouse,Accessories,1990.68,10,12/6/2021
354,Headphones,Audio,427.52,9,8/1/2023
355,Tablet,Electronics,1632.05,10,1/12/2021
356,Headphones,Audio,1438.28,4,11/26/2023
357,Headphones,Audio,716.85,6,1/31/2021
358,Smartphone,Electronics,1200.25,8,4/24/2022
359,Tablet,Electronics,281.73,2,4/28/2020
360,Keyboard,Accessories,1930.02,6,9/14/2023
361,Printer,Office Supplies,1170.32,2,3/5/2023
362,Keyboard,Accessories,1437.78,9,8/14/2021
363,Tablet,Electronics,60.41,9,6/30/2022
364,Printer,Office Supplies,1243.1,2,6/3/2022
365,Mouse,Accessories,1439.59,4,7/31/2023
366,Laptop,Electronics,636.17,7,2/24/2023
367,Monitor,Accessories,479.1,9,6/5/2023
368,Smartphone,Electronics,1502.45,9,4/22/2023
369,Monitor,Accessories,1613.64,2,11/8/2022
370,Monitor,Accessories,513.83,5,4/2/2021
371,Printer,Office Supplies,842.05,4,1/17/2023
372,Mouse,Accessories,1035.9,4,9/24/2023
373,Smartphone,Electronics,369.26,6,2/4/2020
374,Headphones,Audio,500.97,4,6/3/2020
375,Tablet,Electronics,821.17,4,9/2/2020
376,Laptop,Electronics,353.39,6,3/21/2020
377,Headphones,Audio,1390.59,8,4/25/2023
378,Tablet,Electronics,789.66,7,8/3/2022
379,Laptop,Electronics,345.58,1,4/15/2023
380,Mouse,Accessories,671.42,3,3/28/2022
381,Tablet,Electronics,1702.28,7,10/6/2023
382,Keyboard,Accessories,1534.03,7,5/19/2021
383,Smartphone,Electronics,948.37,3,8/26/2020
384,Smartphone,Electronics,76.91,9,1/20/2024
385,Keyboard,Accessories,1042.94,10,5/9/2023
386,Headphones,Audio,599.04,6,3/9/2023
387,Keyboard,Accessories,1722.74,3,2/3/2024
388,Smartphone,Electronics,818.18,3,8/14/2021
389,Mouse,Accessories,1393.03,5,5/24/2020
390,Laptop,Electronics,1233.08,5,1/4/2020
391,Mouse,Accessories,591.25,5,5/18/2020
392,Keyboard,Accessories,860.27,4,12/30/2020
393,Smartphone,Electronics,1810.02,9,9/1/2022
394,Headphones,Audio,843.92,8,6/29/2021
395,Mouse,Accessories,966.98,8,7/27/2023
396,Monitor,Accessories,488,7,1/1/2024
397,Headphones,Audio,855.27,2,3/18/2022
398,Tablet,Electronics,250.75,2,2/10/2023
399,Printer,Office Supplies,1685.27,2,2/22/2021
400,Headphones,Audio,890.85,6,8/19/2023
401,Smartphone,Electronics,295.02,1,4/16/2020
402,Headphones,Audio,1238.26,10,5/27/2022
403,Mouse,Accessories,1297.34,10,10/24/2022
404,Monitor,Accessories,1326.06,6,3/8/2023
405,Printer,Office Supplies,695.75,9,2/20/2023
406,Smartphone,Electronics,1665.22,2,9/8/2022
407,Keyboard,Accessories,248.48,1,2/5/2024
408,Headphones,Audio,312.53,7,12/8/2022
409,Smartphone,Electronics,1496.13,10,11/18/2021
410,Laptop,Electronics,269.49,5,10/28/2022
411,Tablet,Electronics,855.44,2,6/11/2020
412,Tablet,Electronics,1113.35,1,6/2/2022
413,Headphones,Audio,841.18,3,1/24/2024
414,Headphones,Audio,1252.04,4,2/17/2022
415,Smartphone,Electronics,1852.45,8,1/24/2020
416,Keyboard,Accessories,1145.82,5,3/26/2020
417,Smartphone,Electronics,515.6,1,1/2/2021
418,Laptop,Electronics,1932.75,3,2/12/2021
419,Smartphone,Electronics,1066.87,5,5/17/2021
420,Laptop,Electronics,1084.08,8,8/2/2021
421,Headphones,Audio,1863.57,6,8/13/2021
422,Mouse,Accessories,996.14,4,8/31/2020
423,Laptop,Electronics,887.83,6,8/10/2023
424,Laptop,Electronics,1565.47,10,1/10/2021
425,Headphones,Audio,1854.71,3,10/4/2023
426,Mouse,Accessories,910.47,9,4/26/2021
427,Smartphone,Electronics,72.51,1,6/10/2022
428,Mouse,Accessories,587.33,2,11/26/2020
429,Keyboard,Accessories,1637.89,6,12/2/2021
430,Tablet,Electronics,1101.49,2,12/3/2022
431,Keyboard,Accessories,1447.63,7,3/30/2023
432,Printer,Office Supplies,490.87,10,8/28/2021
433,Keyboard,Accessories,1624.58,2,7/28/2023
434,Printer,Office Supplies,758.3,3,8/9/2023
435,Mouse,Accessories,1101.47,10,12/25/2020
436,Keyboard,Accessories,361.72,1,6/18/2020
437,Smartphone,Electronics,1224.52,7,1/19/2024
438,Tablet,Electronics,502.06,6,9/26/2020
439,Printer,Office Supplies,1856.73,8,3/14/2020
440,Printer,Office Supplies,1294.22,7,9/23/2023
441,Laptop,Electronics,1455.95,2,7/31/2021
442,Keyboard,Accessories,105.82,8,8/10/2023
443,Monitor,Accessories,1598.66,1,4/30/2020
444,Tablet,Electronics,325.12,10,12/12/2020
445,Laptop,Electronics,470.92,8,9/8/2022
446,Smartphone,Electronics,895.58,4,8/6/2020
447,Printer,Office Supplies,1072.66,9,7/15/2020
448,Monitor,Accessories,558.57,10,6/2/2020
449,Headphones,Audio,324.5,2,8/26/2023
450,Tablet,Electronics,671.9,8,5/13/2021
451,Laptop,Electronics,1974.17,9,4/30/2020
452,Headphones,Audio,218.36,10,8/11/2021
453,Keyboard,Accessories,275.67,10,3/8/2020
454,Smartphone,Electronics,747.9,8,7/16/2021
455,Monitor,Accessories,1017.73,6,5/2/2021
456,Laptop,Electronics,1500.08,8,8/2/2022
457,Headphones,Audio,1578.2,4,12/30/2022
458,Printer,Office Supplies,966.67,3,5/31/2023
459,Laptop,Electronics,1128.04,1,4/9/2021
460,Mouse,Accessories,395.64,10,4/8/2021
461,Printer,Office Supplies,944.96,5,1/21/2024
462,Tablet,Electronics,1258.09,7,11/1/2022
463,Smartphone,Electronics,351.09,2,10/12/2021
464,Printer,Office Supplies,899.98,3,5/15/2020
465,Keyboard,Accessories,1487.85,1,6/27/2021
466,Headphones,Audio,599.51,3,7/11/2022
467,Printer,Office Supplies,535.84,5,11/11/2022
468,Headphones,Audio,1490.95,7,8/20/2020
469,Keyboard,Accessories,762.02,10,7/13/2022
470,Tablet,Electronics,1539.36,1,10/3/2022
471,Smartphone,Electronics,1559.32,5,10/31/2022
472,Printer,Office Supplies,976.45,4,9/14/2023
473,Mouse,Accessories,1501.62,10,4/26/2020
474,Headphones,Audio,1161.8,8,11/16/2023
475,Printer,Office Supplies,1486.28,6,1/31/2024
476,Headphones,Audio,106.9,2,10/3/2020
477,Laptop,Electronics,1080.68,2,5/11/2022
478,Monitor,Accessories,641.31,1,7/21/2023
479,Headphones,Audio,742.06,8,4/30/2020
480,Monitor,Accessories,815.03,3,10/15/2023
481,Keyboard,Accessories,821.63,1,12/25/2023
482,Laptop,Electronics,407.61,7,12/23/2020
483,Laptop,Electronics,862.89,5,7/4/2020
484,Headphones,Audio,665.21,5,2/28/2023
485,Tablet,Electronics,1600.94,9,1/29/2022
486,Smartphone,Electronics,210.5,10,8/3/2022
487,Mouse,Accessories,1459.22,9,4/6/2023
488,Keyboard,Accessories,1940.46,6,1/4/2022
489,Keyboard,Accessories,1083.84,3,10/3/2023
490,Smartphone,Electronics,1503.3,5,1/21/2022
491,Laptop,Electronics,592.25,4,12/17/2020
492,Smartphone,Electronics,804.32,1,4/15/2020
493,Keyboard,Accessories,636.66,8,1/14/2020
494,Keyboard,Accessories,996.32,6,8/25/2021
495,Keyboard,Accessories,1251.74,8,1/19/2020
496,Laptop,Electronics,1329.03,9,11/25/2023
497,Printer,Office Supplies,952.59,3,8/4/2020
498,Monitor,Accessories,341.27,9,8/23/2020
499,Keyboard,Accessories,174.01,10,2/17/2020
500,Keyboard,Accessories,300.89,7,7/5/2020
501,Printer,Office Supplies,923.95,3,8/10/2020
502,Tablet,Electronics,1056.57,2,8/19/2020
503,Tablet,Electronics,346.64,10,7/8/2023
504,Printer,Office Supplies,671.4,7,2/23/2021
505,Headphones,Audio,202.44,3,3/18/2021
506,Mouse,Accessories,1634.3,5,4/9/2021
507,Tablet,Electronics,553.39,6,5/12/2023
508,Mouse,Accessories,54.29,9,8/16/2020
509,Headphones,Audio,682.06,5,1/30/2020
510,Smartphone,Electronics,439.07,8,7/28/2022
511,Laptop,Electronics,1501.82,1,9/14/2023
512,Mouse,Accessories,365.73,9,1/26/2022
513,Tablet,Electronics,1911.4,8,6/24/2023
514,Tablet,Electronics,1724.97,9,1/8/2020
515,Headphones,Audio,1207.85,8,8/17/2020
516,Mouse,Accessories,195.18,3,6/3/2021
517,Laptop,Electronics,1901.13,7,2/10/2022
518,Tablet,Electronics,1671.96,8,8/31/2021
519,Keyboard,Accessories,300.24,4,4/19/2021
520,Smartphone,Electronics,1004.73,7,6/12/2023
521,Monitor,Accessories,473.74,10,5/11/2023
522,Laptop,Electronics,902.95,1,12/10/2020
523,Monitor,Accessories,1580.47,2,4/14/2020
524,Keyboard,Accessories,310.88,1,6/11/2021
525,Mouse,Accessories,1305.65,5,7/14/2021
526,Mouse,Accessories,1509.89,1,3/6/2022
527,Mouse,Accessories,1838.59,8,10/7/2023
528,Headphones,Audio,630.62,2,1/12/2021
529,Headphones,Audio,1223.08,3,2/26/2020
530,Laptop,Electronics,737.53,2,9/18/2021
531,Monitor,Accessories,1737.5,10,7/13/2021
532,Tablet,Electronics,192.23,6,5/3/2021
533,Keyboard,Accessories,1770.42,10,11/15/2022
534,Tablet,Electronics,1806.98,7,1/5/2022
535,Laptop,Electronics,1087,8,10/19/2020
536,Tablet,Electronics,1011.32,3,11/20/2021
537,Monitor,Accessories,1765.54,9,3/28/2022
538,Printer,Office Supplies,1918.26,8,6/30/2022
539,Smartphone,Electronics,685.35,8,10/15/2022
540,Mouse,Accessories,1396.96,8,10/26/2021
541,Tablet,Electronics,947.99,10,12/3/2020
542,Headphones,Audio,577.64,3,11/15/2023
